LOC_ID                          CLUSTER             P_VALUE             CLU_OBS             CLU_EXP             CLU_ODE             CLU_RR              CLU_POP             LOC_OBS             LOC_EXP             LOC_ODE             LOC_RR              LOC_POP             LOC_LAT             LOC_LONG            GINI_CLUST
432230                          1                   1e-17               2458                1331.11             1.85                2.03                1331.11             1                   0.58                1.73                1.73                0.58                -27.756000          -54.482000          F 
430975                          1                   1e-17               2458                1331.11             1.85                2.03                1331.11             2                   0.29                6.82                6.83                0.29                -29.419000          -53.135000          F 
430020                          1                   1e-17               2458                1331.11             1.85                2.03                1331.11             0                   0.50                0                   0                   0.50                -28.239000          -53.771000          F 
431645                          1                   1e-17               2458                1331.11             1.85                2.03                1331.11             2                   0.82                2.43                2.43                0.82                -29.088000          -53.213000          F 
430781                          1                   1e-17               2458                1331.11             1.85                2.03                1331.11             3                   0.25                11.77               11.77               0.25                -29.177000          -53.159000          F 
430120                          1                   1e-17               2458                1331.11             1.85                2.03                1331.11             2                   0.91                2.19                2.19                0.91                -29.333000          -53.093000          F 
431040                          1                   1e-17               2458                1331.11             1.85                2.03                1331.11             0                   0.44                0                   0                   0.44                -27.833000          -54.188000          F 
431505                          1                   1e-17               2458                1331.11             1.85                2.03                1331.11             0                   0.18                0                   0                   0.18                -27.575000          -54.668000          F 
432180                          1                   1e-17               2458                1331.11             1.85                2.03                1331.11             7                   1.65                4.24                4.24                1.65                -27.773000          -54.240000          F 
432070                          1                   1e-17               2458                1331.11             1.85                2.03                1331.11             6                   1.03                5.84                5.84                1.03                -29.421000          -53.029000          F 
431123                          1                   1e-17               2458                1331.11             1.85                2.03                1331.11             1                   0.20                4.97                4.97                0.20                -29.489000          -53.014000          F 
432210                          1                   1e-17               2458                1331.11             1.85                2.03                1331.11             0                   0.40                0                   0                   0.40                -27.657000          -54.440000          F 
430845                          1                   1e-17               2458                1331.11             1.85                2.03                1331.11             1                   0.30                3.31                3.31                0.30                -28.797000          -53.223000          F 
431041                          1                   1e-17               2458                1331.11             1.85                2.03                1331.11             0                   0.15                0                   0                   0.15                -27.883000          -54.017000          F 
