cod_mun;ESPACIAL_CLUSTER;ESPACIAL_P_VALUE;ESPACIAL_CLU_OBS;ESPACIAL_CLU_EXP;ESPACIAL_CLU_ODE;ESPACIAL_CLU_RR;ESPACIAL_CLU_POP;ESPACIAL_LOC_OBS;ESPACIAL_LOC_EXP;ESPACIAL_LOC_ODE;ESPACIAL_LOC_RR;ESPACIAL_LOC_POP;ESPACIAL_CLU_RISCO;ESPACIAL_DATA_REF
430195;1;1E-17;2458;1331,11;1,85;2,03;1331,11;0;0,18;0;0;0,18;Alto risco;2019
431407;1;1E-17;2458;1331,11;1,85;2,03;1331,11;2;0,46;4,38;4,38;0,46;Alto risco;2019
431515;1;1E-17;2458;1331,11;1,85;2,03;1331,11;2;0,45;4,4;4,4;0,45;Alto risco;2019
431845;1;1E-17;2458;1331,11;1,85;2,03;1331,11;0;0,18;0;0;0,18;Alto risco;2019
431085;1;1E-17;2458;1331,11;1,85;2,03;1331,11;1;0,27;3,77;3,77;0,27;Alto risco;2019
430995;1;1E-17;2458;1331,11;1,85;2,03;1331,11;0;0,28;0;0;0,28;Alto risco;2019
432045;1;1E-17;2458;1331,11;1,85;2,03;1331,11;3;0,15;20,07;20,07;0,15;Alto risco;2019
430705;1;1E-17;2458;1331,11;1,85;2,03;1331,11;0;0,22;0;0;0,22;Alto risco;2019
432370;1;1E-17;2458;1331,11;1,85;2,03;1331,11;1;0,2;4,89;4,89;0,2;Alto risco;2019
431142;1;1E-17;2458;1331,11;1,85;2,03;1331,11;1;0,17;5,95;5,95;0,17;Alto risco;2019
430830;1;1E-17;2458;1331,11;1,85;2,03;1331,11;0;0,71;0;0;0,71;Alto risco;2019
432010;1;1E-17;2458;1331,11;1,85;2,03;1331,11;2;1,64;1,22;1,22;1,64;Alto risco;2019
430585;1;1E-17;2458;1331,11;1,85;2,03;1331,11;0;0,17;0;0;0,17;Alto risco;2019
432020;1;1E-17;2458;1331,11;1,85;2,03;1331,11;2;0,73;2,72;2,72;0,73;Alto risco;2019
431642;1;1E-17;2458;1331,11;1,85;2,03;1331,11;1;0,18;5,43;5,43;0,18;Alto risco;2019
431380;1;1E-17;2458;1331,11;1,85;2,03;1331,11;1;0,5;2;2;0,5;Alto risco;2019
430461;1;1E-17;2458;1331,11;1,85;2,03;1331,11;0;0,13;0;0;0,13;Alto risco;2019
430450;1;1E-17;2458;1331,11;1,85;2,03;1331,11;9;3,89;2,31;2,31;3,89;Alto risco;2019
432252;1;1E-17;2458;1331,11;1,85;2,03;1331,11;1;0,24;4,12;4,12;0,24;Alto risco;2019
432260;1;1E-17;2458;1331,11;1,85;2,03;1331,11;27;4,97;5,43;5,44;4,97;Alto risco;2019
431846;1;1E-17;2458;1331,11;1,85;2,03;1331,11;0;0,14;0;0;0,14;Alto risco;2019
432132;1;1E-17;2458;1331,11;1,85;2,03;1331,11;0;0,22;0;0;0,22;Alto risco;2019
431346;1;1E-17;2458;1331,11;1,85;2,03;1331,11;0;0,12;0;0;0,12;Alto risco;2019
432350;1;1E-17;2458;1331,11;1,85;2,03;1331,11;0;0,19;0;0;0,19;Alto risco;2019
431267;1;1E-17;2458;1331,11;1,85;2,03;1331,11;3;0,12;25,9;25,91;0,12;Alto risco;2019
430515;1;1E-17;2458;1331,11;1,85;2,03;1331,11;0;0,16;0;0;0,16;Alto risco;2019
430185;1;1E-17;2458;1331,11;1,85;2,03;1331,11;0;0,22;0;0;0,22;Alto risco;2019
431513;1;1E-17;2458;1331,11;1,85;2,03;1331,11;0;0,12;0;0;0,12;Alto risco;2019
431344;1;1E-17;2458;1331,11;1,85;2,03;1331,11;3;0,16;18,78;18,78;0,16;Alto risco;2019
420840;1;1E-17;2458;1331,11;1,85;2,03;1331,11;1;1,16;0,86;0,86;1,16;Alto risco;2019
431620;1;1E-17;2458;1331,11;1,85;2,03;1331,11;3;0,37;8,09;8,09;0,37;Alto risco;2019
431215;1;1E-17;2458;1331,11;1,85;2,03;1331,11;1;0,32;3,11;3,11;0,32;Alto risco;2019
430580;1;1E-17;2458;1331,11;1,85;2,03;1331,11;3;0,68;4,44;4,44;0,68;Alto risco;2019
431445;1;1E-17;2458;1331,11;1,85;2,03;1331,11;1;0,18;5,45;5,45;0,18;Alto risco;2019
431449;1;1E-17;2458;1331,11;1,85;2,03;1331,11;0;0,34;0;0;0,34;Alto risco;2019
430850;1;1E-17;2458;1331,11;1,85;2,03;1331,11;2;2,13;0,94;0,94;2,13;Alto risco;2019
431477;1;1E-17;2458;1331,11;1,85;2,03;1331,11;0;0,27;0;0;0,27;Alto risco;2019
430607;1;1E-17;2458;1331,11;1,85;2,03;1331,11;3;0,19;15,4;15,4;0,19;Alto risco;2019
