LATITUDE,LONGITUDE,TAXA_HABITANTE
-3.89,-38.686,1.48
-3.124,-40.147,1.52
-3.226,-40.697,0.68
-3.523,-40.343,1.27
-7.389,-38.774,0.49
-7.313,-38.946,0.86
-5.675,-39.194,0.31
-3.569,-39.97,0.44
-7.25,-39.143,0.97
-5.743,-39.628,1.22
-4.789,-40.063,1.5
-5.107,-38.373,1.21
-3.467,-40.681,1.18
-3.229,-40.125,0.72
-3.909,-40.747,0.55
-4.306,-38.996,2.39
-7.092,-39.681,1.28
-4.707,-40.563,1.39
-5.534,-40.774,1.06
-4.491,-38.597,1.14
-6.244,-38.914,1.48
-4.173,-38.461,1.05
-3.984,-38.62,0.96
-4.225,-38.923,1.23
-4.745,-37.959,0.51
-4.15,-38.846,1.44
-3.41,-39.031,1.55
-3.439,-39.148,1.08
-6.211,-40.694,1.79
-4.097,-39.239,0.74
-5.454,-39.717,1.47
-7.829,-39.077,0.58
-3.793,-39.27,1.16
-6.045,-38.461,0.74
-4.028,-38.306,0.48
-5.804,-39.418,1.28
-4.247,-40.645,0.38
-4.745,-40.926,1.75
-7.535,-39.118,1.5
-7.091,-40.027,0.24
-5.668,-38.251,0.51
-5.843,-40.701,2.23
-4.971,-39.015,1.59
-6.254,-39.202,2.1
-5.199,-39.293,0.96
-5.074,-37.989,1.47
-4.226,-38.731,1.78
-4.142,-40.582,1.48
-4.94,-37.976,0.97
-6.542,-39.907,1.04
-7.285,-40.457,1.52
-3.461,-40.212,1.52
-7.188,-39.737,0.82
-4.332,-40.157,1.06
-4.049,-40.865,2.17
-3.606,-38.969,1.04
-5.271,-38.274,0.13
-3.67,-39.243,1.3
-5.588,-39.372,0.9
-3.351,-40.463,1.11
-3.674,-40.239,1.27
-5.247,-38.131,0.76
-4.832,-40.321,0.43
-6.684,-39.761,0.68
-6.003,-40.293,1.96
-3.989,-39.581,0.5
-3.732,-40.992,1.15
-3.278,-39.269,1.43
-3.581,-39.437,0.88
-3.854,-40.921,1.69
-6.648,-38.7,0.39
-3.677,-39.35,1.45
-3.625,-39.508,1.75
-3.314,-40.557,0.1
-4.194,-40.477,1.7
-6.789,-39.296,1.03
-3.562,-41.092,2.15
-6.436,-36.639,0.76
-5.577,-36.909,0.75
-5.498,-36.506,0.28
-6.209,-38.297,6.29
-6.413,-38.016,0.65
-6.152,-37.766,0.38
-5.288,-36.762,0.47
-5.666,-36.601,1.84
-6.213,-37.906,1.09
-5.664,-37.799,2.19
-4.956,-37.137,1
-5.864,-37.31,0.15
-5.08,-37.617,0.53
-5.951,-35.926,2.18
-5.694,-35.82,1.11
-5.988,-36.413,3.74
-5.984,-35.581,0.46
-6.191,-35.357,0.23
-6.458,-37.098,1.56
-6.243,-36.183,0.49
-6.38,-35.129,0.23
-5.793,-37.557,1.4
-6.556,-36.595,1.41
-5.341,-36.833,0.67
-5.634,-35.426,0.28
-6.046,-36.346,0.58
-6.26,-38.444,0.79
-6.412,-36.79,0.76
-6.261,-36.515,0.92
-6.094,-38.375,1.39
-5.916,-35.263,0.49
-6.111,-38.306,1.87
-6.945,-36.718,2.35
-6.332,-35.309,0.23
-5.706,-35.307,0.44
-5.603,-37.689,0.76
-6.127,-36.818,1.95
-6.158,-37.84,2.77
-5.091,-36.275,1.78
-6.267,-35.21,0.76
-5.459,-37.521,0.88
-4.98,-37.155,0.4
-5.108,-36.32,2.23
-5.824,-35.553,0.7
-5.498,-36.855,1.41
-5.644,-36.871,1.39
-5.84,-37.993,2.01
-6.426,-36.205,0.42
-5.356,-36.128,1.01
-6.016,-37.409,2.39
-6.158,-35.601,0.44
-6.379,-37.352,1.69
-6.584,-36.774,0.92
-5.538,-35.82,0.76
-6.274,-37.796,0.41
-6.317,-38.281,1.19
-6.034,-37.02,1.73
-6.391,-35.598,1.77
-6.149,-35.438,1.26
-6.096,-36.469,1.53
-6.134,-35.494,0.62
-5.7,-36.245,1.45
-6.12,-37.816,0.82
-6.414,-38.389,1.12
-5.858,-35.354,0.46
-5.115,-36.634,0.36
-6.406,-38.324,0.93
-6.294,-38.167,0.84
-6.088,-37.911,0.16
-5.516,-35.262,0.33
-6.079,-37.514,0.94
-6.486,-35.288,0.23
-6.068,-35.332,0.13
-5.188,-37.344,1.18
-5.795,-35.209,0.49
-6.091,-35.209,0.94
-6.478,-35.434,0.3
-5.956,-37.706,0.45
-6.701,-36.946,3.14
-6.486,-38.313,0.95
-5.774,-37.101,2.22
-5.223,-35.838,0.18
-6.688,-36.658,0.18
-5.273,-35.383,0.98
-6.436,-35.643,0.47
-6.11,-37.637,0.21
-5.84,-35.695,0.43
-6.111,-38.209,1.67
-5.15,-35.879,1.04
-5.583,-36.105,2.56
-5.522,-36.388,0.72
-6.439,-35.221,0.13
-5.26,-36.722,0.28
-6.269,-38.043,1.79
-5.623,-35.663,0.15
-6.024,-37.988,2.9
-5.068,-36.782,0.97
-6.106,-35.713,0.17
-5.467,-35.556,0.32
-6.195,-38.226,0.37
-6.076,-37.717,2.81
-5.936,-37.946,1.79
-6.263,-38.316,2.41
-5.788,-38.06,4.26
-4.837,-37.253,2.49
-5.881,-35.935,1.59
-6.229,-36.023,0.76
-5.958,-36.656,1.34
-6.311,-35.479,0.89
